firstName,lastName,playerteamName,gameDate,numMinutes,opponent_oss,recent_avg_fp,season_avg_fp,bfi,fp
A.J.,Lawson,Raptors,2025-03-12 19:30:00,35.31,11.43956043956044,46.0,46.0,0.0,38.0
A.J.,Lawson,Raptors,2025-03-14 21:30:00,23.51,11.344827586206897,42.0,42.0,0.0,23.0
A.J.,Lawson,Raptors,2025-03-16 18:00:00,33.06,11.625,35.666666666666664,35.666666666666664,0.0,22.0
A.J.,Lawson,Raptors,2025-03-17 22:00:00,24.58,11.835443037974683,32.25,32.25,0.0,18.0
A.J.,Lawson,Raptors,2025-03-20 22:00:00,10.2,10.2875,29.4,29.4,0.0,0.0
A.J.,Lawson,Raptors,2025-03-24 19:00:00,22.57,10.104166666666666,20.2,24.5,0.0,21.0
A.J.,Lawson,Raptors,2025-03-26 19:30:00,15.51,11.103896103896103,16.8,24.0,0.0,1.0
A.J.,Lawson,Raptors,2025-03-28 19:30:00,9.12,10.864197530864198,12.4,21.125,0.0,10.0
A.J.,Lawson,Raptors,2025-03-30 19:30:00,4.57,11.43956043956044,10.0,19.88888888888889,0.0,1.0
A.J.,Lawson,Raptors,2025-04-01 20:00:00,12.57,11.984848484848484,6.6,18.0,0.0,26.0
A.J.,Lawson,Raptors,2025-04-03 19:30:00,17.54,11.625,11.8,18.727272727272727,0.0,30.0
A.J.,Lawson,Raptors,2025-04-04 19:30:00,23.11,11.69767441860465,13.6,19.666666666666668,0.0,20.0
A.J.,Lawson,Raptors,2025-04-06 15:30:00,22.07,11.103896103896103,17.4,19.692307692307693,0.0,19.0
AJ,Green,Bucks,2025-03-13 19:30:00,21.2,10.525641025641026,16.0,16.0,0.0,16.0
AJ,Green,Bucks,2025-03-15 20:00:00,15.19,12.44,16.0,16.0,0.0,9.0
AJ,Green,Bucks,2025-03-16 21:00:00,18.39,10.419753086419753,13.666666666666666,13.666666666666666,0.0,13.0
AJ,Green,Bucks,2025-03-18 22:00:00,14.12,10.2875,13.5,13.5,0.0,2.0
AJ,Green,Bucks,2025-03-20 22:30:00,20.13,10.525641025641026,11.2,11.2,0.0,18.0
AJ,Green,Bucks,2025-03-22 22:00:00,25.36,10.673469387755102,11.6,12.333333333333334,0.0,7.0
AJ,Green,Bucks,2025-03-24 22:00:00,20.38,11.835443037974683,9.8,11.571428571428571,0.0,7.0
AJ,Green,Bucks,2025-03-26 21:00:00,34.13,12.050632911392405,9.4,11.0,0.0,32.0
AJ,Green,Bucks,2025-03-28 20:00:00,25.35,9.80952380952381,13.2,13.333333333333334,0.0,12.0
AJ,Green,Bucks,2025-04-03 19:00:00,19.18,11.43956043956044,15.2,13.2,0.0,19.0
AJ,Green,Bucks,2025-04-05 20:00:00,33.36,10.882352941176471,15.4,13.727272727272727,0.0,19.0
AJ,Johnson,Wizards,2025-03-15 21:00:00,17.45,9.467391304347826,13.0,13.0,0.0,28.0
AJ,Johnson,Wizards,2025-03-17 22:00:00,34.47,9.384615384615385,20.5,20.5,0.0,13.0
AJ,Johnson,Wizards,2025-03-21 19:00:00,22.36,9.109375,18.0,18.0,0.0,25.0
AJ,Johnson,Wizards,2025-03-22 20:00:00,27.53,8.44943820224719,19.75,19.75,0.0,16.0
AJ,Johnson,Wizards,2025-03-24 19:00:00,28.22,9.097826086956522,19.0,19.0,0.0,33.0
AJ,Johnson,Wizards,2025-03-26 19:00:00,34.0,11.967032967032967,23.0,21.333333333333332,0.0,20.0
AJ,Johnson,Wizards,2025-03-27 19:00:00,26.36,10.148148148148149,21.4,21.142857142857142,0.0,0.0
AJ,Johnson,Wizards,2025-03-29 19:00:00,42.15,9.707865168539326,18.8,18.5,0.0,29.0
AJ,Johnson,Wizards,2025-03-31 19:00:00,36.47,8.945054945054945,19.6,19.666666666666668,0.0,6.0
AJ,Johnson,Wizards,2025-04-02 19:00:00,36.3,9.807692307692308,17.6,18.3,0.0,32.0
AJ,Johnson,Wizards,2025-04-03 19:00:00,28.55,9.109375,17.4,19.545454545454547,0.0,16.0
AJ,Johnson,Wizards,2025-04-06 18:00:00,34.01,8.987804878048781,16.6,19.25,0.0,20.0
Aaron,Gordon,Nuggets,2025-03-17 22:00:00,37.04,11.219178082191782,37.0,37.0,0.0,45.0
Aaron,Gordon,Nuggets,2025-03-19 22:00:00,30.03,10.536585365853659,41.0,41.0,0.0,41.0
